STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WT11,WT13,WT14,WT16,WT18,WT19,WT22
USW00094728,"NY CITY CENTRAL PARK, NY US",7/8/2011,3.36,2323,2308,0.4,0,0,,85,68,,60,60,13,17,1,,,,,1,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/9/2011,4.47,1648,1647,0,0,0,,88,67,,290,290,13,17,1,,,,,,,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/10/2011,2.01,1604,1831,0,0,0,,86,68,,230,150,10.1,13,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/11/2011,5.14,2356,2356,0,0,0,,91,74,,220,220,14.1,19.9,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/12/2011,7.16,1232,8,0,0,0,,93,78,,270,220,15,23,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/13/2011,5.59,1824,1821,0.11,0,0,,86,69,,290,290,16.1,25.1,1,,,,,1,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/14/2011,6.93,1307,1314,0,0,0,,84,64,,50,90,17,23,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/15/2011,4.25,1102,1350,0,0,0,,87,66,,60,290,10.1,17.9,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/16/2011,4.7,2322,2030,0,0,0,,90,70,,240,220,10.1,17,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/17/2011,5.82,1324,2213,0,0,0,,91,72,,280,230,13,17.9,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/18/2011,5.37,1239,1540,0.11,0,0,,95,75,,270,250,14.1,19.9,1,,,,,1,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/19/2011,4.03,1634,1416,0,0,0,,94,75,,50,40,12.1,17,1,,,,,1,,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/20/2011,3.58,1600,1821,0,0,0,,89,75,,140,150,10.1,15,1,,,,,1,,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/21/2011,5.82,2039,1319,0,0,0,,97,75,,210,250,15,21.9,1,,,,,1,,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/22/2011,4.47,1443,129,0,0,0,,104,84,,280,220,12.1,17,,,,,,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/23/2011,4.03,1721,857,0,0,0,,100,83,,270,290,12.1,17.9,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/24/2011,3.58,1439,1437,0.03,0,0,,91,78,,50,30,13,17,1,,,,,1,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/25/2011,5.37,1227,1226,0.32,0,0,,80,68,,160,180,13,21,1,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/26/2011,3.58,1934,1934,0.14,0,0,,90,69,,330,320,15,25.1,1,,,,,1,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/27/2011,4.25,908,1224,0,0,0,,84,68,,290,270,13,17,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/28/2011,3.13,2226,1545,0,0,0,,87,71,,210,120,10.1,15,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/29/2011,3.8,1806,1806,1.08,0,0,,84,71,,70,70,13,16.1,1,1,,,,1,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/30/2011,5.37,1718,1514,0,0,0,,91,74,,290,290,13,17.9,1,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",7/31/2011,2.91,2225,2225,0,0,0,,91,71,,260,270,10.1,16.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/1/2011,3.13,1539,1538,0.02,0,0,,94,71,,100,110,17,23,1,,,,,,,,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/2/2011,3.8,1710,1710,0,0,0,,91,73,,260,280,13,17.9,,,,,,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/3/2011,3.13,1832,1620,0.76,0,0,,88,67,,120,170,12.1,16.1,1,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/4/2011,4.7,1413,1413,0,0,0,,84,67,,50,50,15,17,1,,,,,,,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/5/2011,4.47,1449,2204,0,0,0,,86,70,,160,180,13,17.9,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/6/2011,5.82,1822,1800,0.19,0,0,,85,72,,160,180,13,19.9,1,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/7/2011,3.58,647,2001,0.16,0,0,,89,73,,200,350,13,19.9,1,,,,,1,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/8/2011,4.25,1601,1601,0,0,0,,90,74,,30,60,17,23,,,,,,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/9/2011,4.47,1433,1431,2.09,0,0,,83,71,,150,170,10.1,17,1,1,,,,1,,,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/10/2011,5.37,1641,1640,0,0,0,,86,70,,270,260,15,21,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/11/2011,3.58,1559,1517,0,0,0,,82,69,,270,270,13,17.9,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/12/2011,2.91,1205,956,0,0,0,,84,64,,240,270,10.1,15,,,,,,,,,,,,,
